Iteration,URL,Time of First Packet,Load Time,TCP Throughput,DNS Avg Latency,DNS Std Dev,DNS 25th,DNS Median,DNS 75th,TCP Conn Avg Time,TCP Conn Std Dev,TCP Conn 25th,TCP Conn Median,TCP Conn 75th,RTT Avg,RTT Std Dev,RTT 25th,RTT Median,RTT 75th,Retransmissions,PCAP File
0,https://www.google.com,1740473502.899418,2.356,586584.4651952462,0.03747231081912392,0.012291766158073628,0.03248393535614014,0.03462660312652588,0.0382804274559021,0.027160808444023132,0.05132201944392349,0.005147755146026611,0.005854487419128418,0.010698795318603516,0.009650578220858894,0.0365439239304942,6e-06,3.7500000000000003e-05,0.00483975,262,DATA/Google/0_Google_20250225_142142.pcap
0,https://openai.com,1740473523.380431,0.894,617069.3512304251,0.037391167420607344,0.005336493960198637,0.03248310089111328,0.0347590446472168,0.04130911827087402,0.03810851914542062,0.02915537684063022,0.006385326385498047,0.05071592330932617,0.05910944938659668,0.015743372881355928,0.040581474516652366,7e-06,2.05e-05,0.00697225,131,DATA/OpenAI/0_OpenAI_20250225_142203.pcap
0,https://www.youtube.com,1740473537.090549,9.79,317667.82431052095,0.049038054286569786,0.018685499860675355,0.03686094284057617,0.038960933685302734,0.06080794334411621,0.07965824604034424,0.09881904442921195,0.007127285003662109,0.014178991317749023,0.15449821949005127,0.013631927835051549,0.05153531498932145,5e-06,1.1e-05,7.3e-05,643,DATA/Youtube/0_Youtube_20250225_142216.pcap
0,https://www.wikipedia.org,1740473584.609009,1.578,98915.082382763,0.05176895543148643,0.017351322389641346,0.037679433822631836,0.04330587387084961,0.06207704544067383,0.0759660800298055,0.029788410349142518,0.07444041967391968,0.08250737190246582,0.0952116847038269,0.03884551785714285,0.07109509325669566,3.175e-05,8.65e-05,0.07835775,82,DATA/Wikipedia/0_Wikipedia_20250225_142303.pcap
0,https://www.amazon.in,1740473594.326247,1.039,221900.86621751686,0.03769720168340774,0.008685998674474664,0.032904863357543945,0.03519392013549805,0.03753089904785156,0.0349435011545817,0.055832189381539846,0.006536006927490234,0.008806943893432617,0.01712799072265625,0.048353062801932356,0.08454778668232607,1.3000000000000001e-05,0.000135,0.057871000000000006,119,DATA/Amazon/0_Amazon_20250225_142313.pcap
1,https://www.google.com,1740473605.835084,2.306,583964.8742411102,0.03803117521877947,0.011866082590656477,0.032785892486572266,0.03574204444885254,0.04013204574584961,0.011270029204232352,0.01989805263043325,0.0051558613777160645,0.005906581878662109,0.006209969520568848,0.006070433021806853,0.02726651776411349,5e-06,2.8e-05,0.0042275,251,DATA/Google/1_Google_20250225_142325.pcap
1,https://openai.com,1740473624.703383,1.285,411341.63424124516,0.0336610904106727,0.003157148204698026,0.03173494338989258,0.033657073974609375,0.03462409973144531,0.03668754441397531,0.02835105797862114,0.006516575813293457,0.04324483871459961,0.06117141246795654,0.01955574901960784,0.0459106373018125,1.55e-05,6.8e-05,0.011864,136,DATA/OpenAI/1_OpenAI_20250225_142344.pcap
1,https://www.youtube.com,1740473637.448296,4.077,246800.0981113564,0.04698086380958557,0.01825544001133256,0.03593766689300537,0.04033505916595459,0.05315268039703369,0.03763965556496068,0.06631887339092107,0.005977988243103027,0.009263038635253906,0.020460963249206543,0.010145258208955225,0.032569801694306684,8e-06,4.6e-05,0.006149,321,DATA/Youtube/1_Youtube_20250225_142356.pcap
1,https://www.wikipedia.org,1740473658.697118,1.468,120884.87738419618,0.04349675178527832,0.018229468084328383,0.03542029857635498,0.0376889705657959,0.03921198844909668,0.06622889637947083,0.034380519377157796,0.05775856971740723,0.0814669132232666,0.08906805515289307,0.0371318843537415,0.06861997459562072,3.2e-05,0.00018,0.07406599999999999,80,DATA/Wikipedia/1_Wikipedia_20250225_142418.pcap
1,https://www.amazon.in,1740473668.812067,1.002,228705.5888223553,0.04076374278349035,0.01565640334754474,0.03246498107910156,0.03501391410827637,0.03673815727233887,0.03061385154724121,0.052383534791240235,0.006290912628173828,0.007037997245788574,0.01318049430847168,0.046582531818181824,0.07959723594095398,2.7e-05,0.0049015,0.04734175,110,DATA/Amazon/1_Amazon_20250225_142428.pcap
